Listing of Port and Protocol, with known attacks. 13-May-03

A frequent visitor sent me the following table:
     Port  Protocol    Keyword                  D e s c r i p t i o n
     1     tcp         tcpmux                   TCP Port Service Multiplexer [rfc-1078] 
     1     udp         SocketsdesTroie          [trojan] Sockets des Troie 
     1     udp         tcpmux                   TCP Port Service Multiplexer 
     2     tcp         compressnet              Management Utility 
     2     tcp         Death                    [trojan] Death 
     2     udp         compressnet              Management Utility 
     3     tcp         compressnet              Compression Process 
     3     udp         compressnet              Compression Process 
     5     tcp         rje                      Remote Job Entry 
     5     udp         rje                      Remote Job Entry 
     7     tcp         echo                     Echo 
     7     udp         echo                     Echo 
     9     tcp         discard                  Discard 
     9     udp         discard                  Discard 
    11     tcp         systat                   Active Users 
    11     udp         systat                   Active Users 
    13     tcp         daytime                  Daytime 
    13     udp         daytime                  Daytime 
    15     tcp         netstat                  Netstat 
    15     tcp         B2                       [trojan] B2 
    17     tcp         qo                       TDQuote of the Day 
    17     udp         qo                       TDQuote of the Day 
    18     tcp         msp                      Message Send Protocol 
    18     udp         msp                      Message Send Protocol 
    19     tcp         chargen                  Character Generator 
    19     udp         chargen                  Character Generator 
    20     tcp         ftp-data                 File Transfer [Default Data] 
    20     udp         ftp-data                 File Transfer [Default Data] 
    20     tcp         SennaSpyFTPserver        [trojan] Senna Spy FTP server 
    21     tcp         ftp                      File Transfer [Control] 
    21     udp         ftp                      File Transfer [Control] 
    21     tcp         BackConstruction         [trojan] Back Construction 
    21     tcp         BladeRunner              [trojan] BladeRunner 
    21     tcp         CattivikFTPServer        [trojan] Cattivik FTP Server 
    21     tcp         CCInvader                [trojan] CC Invader 
    21     tcp         DarkFTP                  [trojan] Dark FTP 
    21     tcp         DolyTrojan               [trojan] Doly Trojan 
    21     tcp         Fore                     [trojan] Fore 
    21     tcp         FreddyK                  [trojan] FreddyK 
    21     tcp         InvisibleFTP             [trojan] Invisible FTP 
    21     tcp         Juggernaut42             [trojan] Juggernaut 42 
    21     tcp         Larva                    [trojan] Larva 
    21     tcp         MotIvFTP                 [trojan] MotIv FTP 
    21     tcp         NetAdministrator         [trojan] Net Administrator 
    21     tcp         Ramen                    [trojan] Ramen 
    21     tcp         RTB666                   [trojan] RTB 666 
    21     tcp         SennaSpyFTPserver        [trojan] Senna Spy FTP server 
    21     tcp         Traitor21                [trojan] Traitor 21 
    21     tcp         [trojan]TheFlu           [trojan] The Flu 
    21     tcp         WebEx                    [trojan] WebEx 
    21     tcp         WinCrash                 [trojan] WinCrash 
    21     tcp         AudioGalaxy              AudioGalaxy file sharing app 
    22     tcp         Adoresshd                [trojan] Adore sshd 
    22     tcp         Shaft                    [trojan] Shaft 
    22     tcp         ssh                      SSH Remote Login Protocol 
    22     udp         pcanywhere               PCAnywhere (deprecated) 
    22     udp         ssh                      SSH Remote Login Protocol 
    23     tcp         telnet                   Telnet 
    23     udp         telnet                   Telnet 
    23     tcp         ADMworm                  [trojan] ADM worm 
    23     tcp         FireHacKer               [trojan] Fire HacKer 
    23     tcp         MyVeryOwntrojan          [trojan] My Very Own trojan 
    23     tcp         RTB666                   [trojan] RTB 666 
    23     tcp         TelnetPro                [trojan] Telnet Pro 
    23     tcp         TinyTelnetServer         [trojan] Tiny Telnet Server - TTS 
    23     tcp         TruvaAtl                 [trojan] Truva Atl 
    24     tcp         BO2KControlPort          [trojan] Back Orifice 2000 (BO2K) Control Port 
    24     tcp         priv-mail                any private mail system 
    24     udp         priv-mail                any private mail system 
    25     tcp         smtp                     Simple Mail Transfer 
    25     udp         smtp                     Simple Mail Transfer 
    25     tcp         Ajan                     [trojan] Ajan 
    25     tcp         Antigen                  [trojan] Antigen 
    25     tcp         Barok                    [trojan] Barok 
    25     tcp         BSE                      [trojan] BSE 
    25     tcp         EmailPasswordSender      [trojan] Email Password Sender - EPS 
    25     tcp         EPSII                    [trojan] EPS II 
    25     tcp         Gip                      [trojan] Gip 
    25     tcp         Gris                     [trojan] Gris 
    25     tcp         Happy99                  [trojan] Happy99 
